,headline,is_sarcastic,website
137,Suspect In Killings Of 22 Elderly Texans Goes On Trial Again,0,huffpost.com
138,College Wrestler Tried To Pull Grizzly Bear Off Teammate Amid Gruesome Attack,0,huffpost.com
139,"Hurricane Ian Lets DeSantis Run Time Off The Game Clock, Hurting Challenger Crist",0,huffpost.com
140,104-Year-Old Man Awarded WWII Medal Just To Be Nice,1,the Onion
141,Louisiana Congressional Hopeful Gives Birth In Campaign Ad To Address State's Abortion Ban,0,huffpost.com
142,Scientists Announce Earth’s Sewage No Longer Drinkable,1,the Onion
143,[NOTE: Do Not Run Until Fucking Queen Is Dead Or People Will Lose Their Shit] Queen Elizabeth Dead At 96,1,the Onion
144,Fauci Says He Should Have Exercised More Caution In Delivering COVID Advice,0,huffpost.com
145,Report: This Our Annual Headline About Hockey,1,the Onion
146,Manti Te’o Reveals He’s Still Friends With Lennay Kekua,1,the Onion
147,"Sacheen Littlefeather, Native American Activist Who Turned Down 1973 Oscar, Dies",0,huffpost.com
148,"Connecticut Cops May Have Been Lured To 'Deliberate,' Deadly Ambush: Police",0,huffpost.com
149,‘Madden’ Glitch Lets Player Win Super Bowl With Texans,1,the Onion
150,"Tom Brady Fails To Read Room, Compares NFL Season To Military Deployment",0,huffpost.com
151,Wedding Couple Grateful To Be Surrounded By Loved Ones Quietly Criticizing Everything About Event,1,the Onion
152,Flint Water Crisis Charges Dropped For 7 Former Officials,0,huffpost.com
153,Don Lemon Says Goodbye To Prime-Time CNN Program In Final Signoff,0,huffpost.com
154,Republicans Say John Fetterman's A Racist Vigilante — And Also A Crime-Loving Radical,0,huffpost.com
155,Lindsey Graham Proposes Nationwide 15-Week Abortion Ban,1,the Onion
156,"Why Senate Democrats Might Survive The GOP’s Super PAC Blitz, And House Democrats Might Not",0,huffpost.com
157,What The Jan. 6 Committee Has Accomplished So Far,0,huffpost.com
158,NFL Doctors Test Tua Tagovailoa’s Mental Acuity By Seeing If He Can Sign Indemnification Agreement,1,the Onion
159,Man Convicted Of Killing Missing California Student Kristin Smart,0,huffpost.com
160,Obamas Celebrate 30th Wedding Anniversary With Endearing Tributes,0,huffpost.com
161,Most Famous Celebrity Sexts Of All Time,1,the Onion
162,Herschel Walker Gets Line Of Lecterns To Block For Him During Debate,1,the Onion
163,Former Oath Keeper Felt He Needed To Be Willing To ‘Conquer Or Die’ On Jan. 6,0,huffpost.com
164,Experts Warn Pornography Has Shaped Generation Of Young Men’s Views On Filmmaking,1,the Onion
165,Uvalde District Fires Officer Who Is Under Investigation For Shooting Response,0,huffpost.com
166,"Herschel Walker Denies Paying For Abortion, But Says 'Nothing To Be Ashamed Of' If He Had",0,huffpost.com
167,Joe Biden Calls On Los Angeles Officials Involved In Racist Remarks To Resign,0,huffpost.com
168,Study Finds Falling To Knees And Screaming To Sky Remains Best Way Of Forsaking One’s God,1,the Onion
169,Party One Of Those Awkward Ones Where Man Knows Everyone There,1,the Onion
170,Study: House Appraisals 40% Lower When Haunted By Black Ghosts,1,the Onion
171,Supreme Court Rejects Appeal From Church Shooter Dylann Roof,0,huffpost.com
172,Raytheon Unveils Missile Capable Of Targeting And Scuffing Up Jordans,1,the Onion
173,"Ezra Miller Pleads Not Guilty To Liquor Theft, Faces Up To 26 Years If Convicted",0,huffpost.com
174,'Darkest Of Days': Explosion At Village Gas Station In Ireland Kills 10,0,huffpost.com
175,"Joe Biden Condemns Raleigh Shooting, Calls for Gun Control",0,huffpost.com
176,Nigeria Races To Assist Flood Victims; Death Toll Tops 600,0,huffpost.com
177,"Roger Stone Calls Video Of Him 'Fake,' But Says He Really Doesn't Like Ivanka Trump",0,huffpost.com
178,Trump Reacts To Jan. 6 Hearing With 14-Page Letter Pushing Same Old Claims,0,huffpost.com
179,Herschel Walker Flashes Fake Police Badge In Georgia Debate Against Raphael Warnock,0,huffpost.com
180,Sign Warns Visitors Not To Enter Gorilla Habitat Unless They Also Gorilla,1,the Onion
181,Russia Leaves More Of Ukraine Without Power In New Strikes,0,huffpost.com
182,Russian Losses Evident In Key Liberated Ukrainian City,0,huffpost.com
183,New Corkscrew Whirlycoaster IUD Gets Sperm Cell Too Dizzy To Find Uterus,1,the Onion
184,HR Reminds Employees In Office Relationship They Should Give HR Some Sugar Too,1,the Onion
185,Difficult-To-Follow Recipe Calls For Dish To Be Enjoyed With Friends,1,the Onion
186,The Pros And Cons Of Fast Fashion,1,the Onion
187,Onion Treehouse Kids…Where Are They Now?,1,the Onion
188,Fiancé Having Second Thoughts About Spending Rest Of Life Cheating On Same Person,1,the Onion
189,Biggest Harry Styles Controversies Explained,1,the Onion
190,The Cast Of ‘Abbott Elementary’: Where Are They Now? What Do You Mean They’re On Set Shooting The Show? Right Now? Wait…What Year Is It? Oh My God...,1,the Onion
191,Elton John Awarded Medal By Joe Biden For Work To End AIDS,1,the Onion
192,Joe Biden Sticking With Controversial Adviser Who Urged Warmer Ties With Saudi Arabia,0,huffpost.com
193,Newly Discovered Documents Suggest Founding Fathers Intended America To Be First In Trilogy Of Countries,1,the Onion
194,Trump Employee Reportedly Gave FBI Key Evidence In Mar-A-Lago Probe,0,huffpost.com
195,The Onion Guide To BeReal,1,the Onion
196,Herschel Walker Claimed He Supervised 6 Hospitals. He Didn’t.,0,huffpost.com
197,Very Important Man One Of The Main Guys Where He Works,1,the Onion
198,Flight Attendant Reminds Passengers To Secure Own Michael Myers Mask Before Helping Child,1,the Onion
199,Flamethrower Set To Mist,1,the Onion
200,"In New Audio, Trump Reveals How He Really Feels About Dictators",0,huffpost.com
201,They Can’t Even,1,the Onion
202,Putin Calls Bomb Attack On Crimean Bridge 'A Terrorist Act' By Ukraine,0,huffpost.com
203,Analyst Acquitted At Trial Over Discredited Trump Dossier,0,huffpost.com
204,How Did You Know He Was Cheating?,1,the Onion
205,Ken Starr’s Family Finds Note Ordering Them To Frame Monica Lewinsky For His Death,1,the Onion
206,USDA Approves Genetically Modified Purple Tomato,1,the Onion
207,Apple Announces New iPhones Will No Longer Be Compatible With Human Hand,1,the Onion
208,What's Putin Thinking? Tough To Know For Nuclear Analysts,0,huffpost.com
209,David Petraeus Says Vladimir Putin Is 'Out Of Moves' In War As Ukraine Gains Continue,0,huffpost.com
210,Iconic Easter Island Heads Suffer 'Irreparable' Damage After Massive Wildfire,0,huffpost.com
211,"North Korea Launches Missile, Flies Warplanes Near South Korea Border",0,huffpost.com
212,Americans Explain Why They Refuse To Return To The Office,1,the Onion
213,New Video: Roger Stone Says Trump Will Get His 'Brains Beat In' If He Runs Again,0,huffpost.com
214,CPR Instructor Recommends Giving Gentle Forehead Kisses Between Chest Compressions So That Victim Feels Safe,1,the Onion
215,6-Year-Old Didn’t Cause Parents’ Divorce But Didn’t Exactly Step Up To Prevent It Either,1,the Onion
216,Ex-Angels Employee Gets 22 Years In Tyler Skaggs' Overdose Death,0,huffpost.com
217,"Ted Cruz Falls For Fake News, Then Blames The Real Media For Calling Him Out",0,huffpost.com
218,Teachers Reveal Why They Are Quitting Their Jobs,1,the Onion
219,"Cause Of Death Determined For Kiely Rodni, The Missing California Teen Found In Reservoir",0,huffpost.com
220,Arizona Fake Elector Kelli Ward Took The Fifth In Jan. 6 Committee Deposition,0,huffpost.com
221,Iowa Reporter Comes Out As Transgender On Air,0,huffpost.com
222,Texans React To School Book Bans,1,the Onion
223,Alex Jones Hit With $965 Million Verdict In 2nd Trial Over Sandy Hook Lies,0,huffpost.com
224,Food Banks Begin Accepting Donations From Homosexuals,1,the Onion
225,Supreme Court Denies Oklahoma Death Row Inmate's Appeal,0,huffpost.com
226,The Wealthy Enjoy A Massive Loophole In New York’s Tax Code — And Are Fighting To Keep It,0,huffpost.com
227,Democratic House Leaders Dance Around The Succession Issue,0,huffpost.com
228,God Still Waiting For Humans To Discover Easter Egg Feature Hidden In Cows,1,the Onion
229,"Jordan Peterson Disgusted By Society Celebrating 2,560-Pound Minnesota Pumpkin",1,the Onion
230,Tom Brady Urges Rob Gronkowski To Join Him For Last Year Of Marriage,1,the Onion
231,Debate Audience Laughs When Sen. Ron Johnson Insists He Was 'Set Up' By The FBI,0,huffpost.com
232,"Bolsonaro, Lula Neck-And-Neck In Polarized Brazil Election",0,huffpost.com
233,Transportation Department Unveils ‘Good Luck’ Signals For Pedestrians Trying To Cross Intersections,1,the Onion
234,Tigers Center Fielder Crashes Into Outfield Wall Just To Feel Something,1,the Onion
235,Biden Promises To Codify Roe v. Wade If Democrats Hold Congress,0,huffpost.com
236,Study Finds Majority Of Suicides Preventable By Watching Video On How Chain-Link Fences Are Made,1,the Onion
237,Justice Ketanji Brown Jackson Speaks More Than Any Other Justice On Week 1,0,huffpost.com
238,Biggest Revelations From New York’s Lawsuit Against Donald Trump,1,the Onion
239,LAPD Pauses Misconduct Investigations Department-Wide Out Of Respect For Deceased Officer,1,the Onion
240,Jan. 6 Committee Wants To Hear Again From Ex-Secret Service Members Ornato And Engel,0,huffpost.com
241,Justice Dept. Seeks End To Special Master Review Of Trump Docs,0,huffpost.com
242,Eric Andre Sues Over Drug Search Program At Atlanta Airport,0,huffpost.com
243,A Flops Tables,1,the Onion
244,Biden Unveils Student Loan Forgiveness Plan Requiring Taxpayers To Be Dragged Into Street And Killed Like Dogs,1,the Onion
245,‘Blonde’ Director Claims Film’s Graphic Sexual Violence Accurate Depiction Of Medieval Time Period,1,the Onion
246,Kanye West Seeks Reconciliation With Jewish Cabal To Collab On ‘Yeezy X Jews’ Streetwear,1,the Onion
247,"White House Security Official: Jan. 6 Was No Rally, Trump Attempted A Coup",0,huffpost.com
248,District Attorney To Review All Cases Handled By Cop Who Planned Charlottesville Nazi Rally,0,huffpost.com
249,Brazil Barrels Into Presidential Runoff As The Far-Right Flexes Its Staying Power,0,huffpost.com
250,NASA Announces Mars Rover Ran Into Jason Schwartzman But Didn’t Take Any Pictures Because It Didn’t Want To Be Weird,1,the Onion
251,Coffee Table Coasters Used Exclusively To Cover Up Existing Water Rings,1,the Onion
252,Missouri School District Reinstates Paddling To Punish Students,1,the Onion
253,Lawyer Informs Royal Family That Queen Has Left Throne To Overall-Wearing Alabama Resident,1,the Onion
254,"'Pro-Life' Herschel Walker Paid For Ex-Girlfriend's Abortion, Report Claims",0,huffpost.com
255,Majority Of Police Officer’s House Calls To Fellow Officers’ Houses,1,the Onion
256,Supreme Court Declines To Hear Mike Lindell's Defamation Appeal,0,huffpost.com
257,UK Leader In Peril After Treasury Chief Axes 'Trussonomics',0,huffpost.com
258,AFL-CIO To Invest Millions In New Worker Organizing Efforts,0,huffpost.com
259,Extraordinarily Dull A.A. Member Must Be Plant To Test Everyone’s Sobriety,1,the Onion
260,"Report: A Nice, Smooth Cigarette Sounds Good Right About Now, Doesn’t It?",1,the Onion
261,"Ukraine's Zaporizhzhia Nuclear Plant Has Lost External Power, UN Nuclear Chief Says",0,huffpost.com
262,"Mikhail Gorbachev, Soviet Leader Who Took Down Iron Curtain, Dead At 91",1,the Onion
263,Mississippi Day Care Worker Fired For Scaring Kids In Halloween Mask,0,huffpost.com
264,Daily Affirmation: Stop Apologizing,1,the Onion
265,Greta Thunberg Says Ditching Nuclear Power While Keeping Coal Is 'A Mistake',0,huffpost.com
266,Popular New Fitness Class Standing On One Leg While EDM Blasts,1,the Onion
267,Americans Explain Why They Oppose Abolishing The Police,1,the Onion
268,Ex-Obama Speechwriter Tells Dems The ‘Best Way To Take Down Trump’,0,huffpost.com
269,Pentagon Grapples With How To Defend Military Women From Tucker Carlson's Insults,0,huffpost.com
270,8-Year-Old Saves Life Of Classmate Who Started Choking On 'Chicken Nugget Day',0,huffpost.com
271,"‘Keep Going,’ Says Restaurant Patron Watching Server Out Of Cheese Start To Grate Hand",1,the Onion
272,What Infowars Viewers Are Saying About The Alex Jones Trial,1,the Onion
273,Martha’s Vineyard Residents React To DeSantis Flying Migrants To Island,1,the Onion
274,Best Moments From Hillary And Chelsea Clinton’s Apple TV Show ‘Gutsy’,1,the Onion
275,Rape Allegations Aired Against '70s Show' Actor Danny Masterson,0,huffpost.com
276,Cackling Garry Kasparov Wins Another Chess Match Against Roomba,1,the Onion
277,Melinda Gates: 'I Had Some Reasons I Just Couldn't Stay In That Marriage',0,huffpost.com
278,BabyBjörn Introduces New Concealed Carry Ankle Infant Holster,1,the Onion
279,"Majority Of Americans Say Misinformation Spurs Extremism, Hate: New Poll",0,huffpost.com
280,Biden Praises Women-Led Protests In Iran: 'It Stunned Me What It Awakened',0,huffpost.com
281,"Biden Canceling $10,000 In Student Loan Debt For Borrowers Making Less Than $125,000",1,the Onion
282,Beyond Meat Exec Exits Company After Arrest For Allegedly Biting Man's Nose,0,huffpost.com
283,U.S. Landlord General Announces Plans To Fix Constant Flooding Sometime In Next Few Months,1,the Onion
284,National Guard Struggles As Troops Leave At Faster Pace,0,huffpost.com
285,"Mel Gibson Can Testify At Harvey Weinstein Trial, Judge Says",0,huffpost.com
286,GOP Candidate Blake Masters Torched By Ex-Classmates: He's A 'Dangerous Politician',0,huffpost.com
287,Child Not Allowed To Leave Dinner Table Until He Finishes 72-Ounce Porterhouse,1,the Onion
288,Beyond Meat Executive Accused Of Biting Man’s Nose,1,the Onion
289,Michigan Jury Convicts 2 Men Of Conspiring To Kidnap Gretchen Whitmer,1,the Onion
290,Fox News Scorched For ‘Grotesque’ Personal Attack On Joe Biden,0,huffpost.com
291,"Week In Review: October 2, 2022",1,the Onion
292,Things All Men Who Are Buried Alive Say On Hinge,1,the Onion
293,King Charles III Takes Throne,1,the Onion
294,Luka Doncic Spends Offseason Adding New Complaints To Repertoire,1,the Onion
295,New Yorkers With Marijuana Convictions First To Be Given Dispensary Licenses,1,the Onion
296,Daily Affirmation: Out Of My Hands,1,the Onion
297,Demings Goes On Attack Against Rubio In Florida Senate Debate,0,huffpost.com
298,Nation’s Brands Criticize African Americans For Appropriating Dialect,1,the Onion
299,Kevin Spacey Finishes Testimony At N.Y. Civil Sex Abuse Trial,0,huffpost.com
300,Erroneous GPS Directions Lead To North Carolina Man's Tragic Death,0,huffpost.com
301,Ohio 5th Graders Annoyed That Friend Forced To Give Birth Only Talks About Baby Stuff Now,1,the Onion
302,Progressive Alabama School District Teaches Students That Every Race The Master Race In Own Way,1,the Onion
303,GOP Mayor In Arizona Finds Withering Way To Protest Trump-Backed Kari Lake,0,huffpost.com
304,What To Know About King Charles III,1,the Onion
305,Daily Affirmation: Release All Doubts,1,the Onion
306,Florida Landlord Reminds Tenants Fleeing Flood That Lease Doesn’t Include Rooftop Access,1,the Onion
307,Ye Wears ‘White Lives Matter’ Shirt At Yeezy Fashion Show,1,the Onion
308,Biden Cracks Down On Misclassification Of Workers As 'Independent Contractors',0,huffpost.com
309,Everything Listed In The Queen’s Will And Where It’s Going,1,the Onion
310,Ex-NSA Worker Accused Of Selling Secrets To Russia Ordered Detained,0,huffpost.com
311,Trump's Bedminster-Bound Mystery Boxes Raise New Secret Document Suspicions,0,huffpost.com
312,Marijuana Reform Is A Political Slam Dunk That Congress Couldn’t Handle,0,huffpost.com
313,Turkey Farm Crew Faces Animal Cruelty Charges For Allegedly Beating Fowl On Job,0,huffpost.com
314,Conservative Man Proudly Frightened Of Everything,1,the Onion
315,Cop Who Killed Sean Monterrosa Fired 2 Years After Deadly Shooting,0,huffpost.com
316,Prison Warden Sadistic But Fair,1,the Onion
317,"The Totally Paradoxical, Totally Predictable GOP Fixation On Electric Vehicles",0,huffpost.com
318,Nury Martinez Resigns From LA City Council After Racist Remarks Revealed,0,huffpost.com
319,Shirtless Alex Jones Stands On Side Of Road Holding ‘Car Wash: $1 Million’ Sign,1,the Onion
320,Putin Stays Up Late Constantly Refreshing Website For Results From Rigged Elections,1,the Onion
321,New Poll Reveals Smoking Marijuana More Popular Than Tobacco,1,the Onion
322,Aunt’s Head Snaps Clean Off Under Weight Of Chunky Statement Necklace,1,the Onion
323,Disabled Community Calls Out Ableism In Coverage Of John Fetterman Following Stroke,0,huffpost.com
324,Legal Experts Weigh In On Mar-A-Lago Special Master Ruling,1,the Onion
325,Astronaut Returns From ISS With Annoying Space Accent,1,the Onion
